,brand,model,price,year,kilometer,fuel,gear
0,Ford,C-Max,13450,2016,157000,Diesel,Automaatti
1,Ford,Mondeo,1790,2007,301000,Diesel,Manuaali
3,Volvo,V70,3750,2001,353000,-,-
5,Opel,Zafira,3410,2009,344000,Diesel,Automaatti
6,Peugeot,206,1990,2003,141680,Bensiini,-
7,Volkswagen,Bora,700,2001,311000,Bensiini,-
8,Skoda,Octavia,1950,2003,290000,Bensiini,Manuaali
9,Mercedes-Benz,320,6990,2009,450000,Diesel,Automaatti
10,Mercedes-Benz,CLK,5400,1997,227000,Bensiini,Automaatti
11,Volvo,S40,1150,1997,250000,Bensiini,-
12,Skoda,Superb,15490,2017,195000,Diesel,Manuaali
13,Toyota,Corolla,2000,2003,380000,Diesel,Manuaali
14,Volkswagen,Beetle,1890,2001,335000,Diesel,Manuaali
16,Volkswagen,Golf,7800,2010,267000,Diesel,Manuaali
17,BMW,1-sarja,4200,2008,211000,Bensiini,-
18,BMW,5-sarja,3800,2006,416000,Bensiini,Automaatti
19,Toyota,Avensis,7750,2007,210000,Bensiini,Manuaali
20,Volvo,V70,5200,2006,272000,Bensiini,-
21,Volvo,V70,7800,2013,405000,Diesel,Automaatti
22,Volvo,S60,2250,2004,450000,Bensiini,-
23,Smart,Fortwo,3500,2009,78508,Diesel,Automaatti
24,Nissan,Almera,250,2001,271000,Bensiini,Manuaali
25,Honda,Jazz,4350,2006,129300,Bensiini,-
26,Audi,A4,5900,2009,297800,Diesel,-
27,Opel,Ampera,12500,2012,197000,Bensiini,-
28,Opel,Zafira,490,2000,411,Bensiini,Manuaali
29,Mazda,323,700,1999,159000,Bensiini,Manuaali
30,Nissan,Juke,10900,2011,59700,Bensiini,Manuaali
31,Audi,A4 Allroad,17500,2013,136000,Diesel,Automaatti
32,Opel,Zafira,4400,2006,194000,Bensiini,Manuaali
33,Volkswagen,Golf,1690,2005,301000,Bensiini,-
34,Toyota,Corolla,800,2005,345090,Diesel,Manuaali
35,Volvo,V40,150,1999,280000,Bensiini,Automaatti
36,BMW,325,8990,2006,245000,Bensiini,Automaatti
37,Volkswagen,Golf,250,2005,596000,Diesel,Automaatti
38,Mercedes-Benz,C-sarja,4500,2008,400600,Diesel,Manuaali
40,Toyota,Corolla,600,1987,380000,Bensiini,Manuaali
41,Volkswagen,Polo,14900,2019,11000,Bensiini,Manuaali
42,Volkswagen,Passat,2750,2005,315313,Diesel,-
43,Volkswagen,Golf,9900,2014,154500,Bensiini,Manuaali
44,Renault,Megane,800,2005,317258,Diesel,Manuaali
45,Volvo,V70,1900,2000,322256,Bensiini,-
46,Audi,A3,39800,2021,3000,Hybridi,Automaatti
47,BMW,3-sarja,2500,2004,296000,Bensiini,Manuaali
48,Volkswagen,T-Roc,17900,2018,97000,Bensiini,Manuaali
49,Skoda,Octavia,3250,2008,390000,Diesel,Manuaali
50,Volkswagen,T-Cross,28500,2021,10,Bensiini,Automaatti
51,Citroen,C5,450,0,334887,Diesel,-
52,Nissan,Almera,499,2001,213000,Bensiini,Manuaali
53,Mercedes-Benz,B-sarja,3400,2007,309000,Diesel,Automaatti
54,Volvo,S70,1620,2000,443000,Bensiini,Automaatti
55,Skoda,Octavia,5990,2010,315000,Diesel,Manuaali
56,Peugeot,206,1990,2002,149450,Bensiini,Manuaali
57,Renault,Laguna,8490,2011,85000,Diesel,Manuaali
58,Toyota,Starlet,380,0,25860,Bensiini,Manuaali
59,Citroen,C3 Picasso,5990,2010,110000,Bensiini,Manuaali
60,Toyota,Aygo,2500,2007,227000,Bensiini,-
61,Opel,Astra,2800,2007,249000,Bensiini,Manuaali
63,Opel,Vectra,1600,2002,229000,Bensiini,Manuaali
64,Citroen,C3,790,2008,209000,Bensiini,Manuaali
65,Superb,4x4 2.0TDI 170hv,10000,2009,247000,Diesel,Manuaali
66,Nissan,Primera,1450,2006,234000,Bensiini,Manuaali
67,Volkswagen,Polo,1499,2008,314500,Diesel,Manuaali
69,Nissan,Note,4700,2009,116000,Bensiini,Manuaali
70,Volkswagen,Passat,1150,2003,434574,Diesel,Manuaali
71,Nissan,Almera,1000,2007,359000,Bensiini,-
72,Citroen,Berlingo,1990,2003,169000,Bensiini,-
74,Volvo,V50,7490,2011,180000,Diesel,Manuaali
75,Citroen,Xsara,1400,1999,2004000,Bensiini,-
77,Mercedes-Benz,R 320,6999,2006,395000,Diesel,Automaatti
78,Volkswagen,Golf,1950,2002,243500,Bensiini,Manuaali
79,Volkswagen,Polo,2950,2006,119000,Bensiini,Manuaali
80,Mercedes-Benz,S-sarja,12900,2007,190000,Diesel,Automaatti
81,Volkswagen,Touran,1950,2004,304000,Diesel,Manuaali
82,Fiat,Punto,2450,2008,98000,Bensiini,Manuaali
83,BMW,535,29990,2012,163000,Diesel,Automaatti
84,Volkswagen,Polo,2490,2008,266400,Diesel,Manuaali
85,BMW,3-sarja,1400,1998,408000,Diesel,Manuaali
86,BMW,3-sarja,1999,1999,292500,Bensiini,Automaatti
87,Volkswagen,Golf,1800,1989,173770,Bensiini,-
88,Citroen,C4,2480,2008,299400,Diesel,Manuaali
89,Volkswagen,Passat,3980,2007,277400,Diesel,Manuaali
90,Volkswagen,Passat,1350,2000,380000,Diesel,Manuaali
91,Mazda,3,2350,2007,270000,Bensiini,-
92,Toyota,Verso,7490,2012,184000,Bensiini,Manuaali
93,Mazda,3,16880,2014,15000,Bensiini,Automaatti
94,Volvo,XC60,48900,2019,56000,Diesel,Automaatti
95,Toyota,Corolla,2300,2007,304000,Bensiini,-
96,Nissan,Tiida,6950,2008,67000,Bensiini,-
97,Toyota,RAV4,7900,2006,263000,Bensiini,Manuaali
98,Audi,A4,7900,2009,260000,Bensiini,Automaatti
100,Volkswagen,Golf,2650,2006,289000,Diesel,Manuaali
101,Mercedes-Benz,C-sarja,4300,2000,141000,Bensiini,Automaatti
102,Volvo,S60,750,2003,350000,Diesel,-
103,Saab,9-3,3490,2007,237000,Bensiini,Manuaali
104,Skoda,Octavia,6850,2009,184600,Bensiini,Automaatti
105,Mazda,1200 vm69 museo ajoneuvo,4200,1960,65000,Bensiini,Manuaali
106,Volvo,V70,9700,2011,205000,Diesel,Automaatti
107,Citroen,C5,1590,2005,302000,Bensiini,-
108,Mitsubishi,Galant,990,1999,283000,Bensiini,Manuaali
109,Peugeot,206,290,2001,400000,Diesel,-
110,Volvo,V70,4900,2008,374500,Diesel,Automaatti
111,Nissan,Primera,600,1998,341000,Bensiini,Manuaali
112,Volkswagen,Passat,15000,2013,128000,Kaasu,Automaatti
113,Peugeot,807,500,2004,220000,Bensiini,Manuaali
114,Volvo,V90,27980,2017,151000,Diesel,Automaatti
115,Mercedes-Benz,S-sarja,800,2007,350000,Bensiini,Automaatti
116,Chevrolet,Nubira,990,2005,160000,Bensiini,Manuaali
118,Audi,Q5,15890,2009,211200,Diesel,Automaatti
119,MERCEDES-BENZ,farmari aj. 204tkm -Webasto,111400,2009,204123,-,-
120,Audi,A4,11870,2013,224000,Bensiini,Automaatti
121,Volvo,S60,10990,2011,252000,Diesel,Automaatti
122,Volvo,V70,8499,2010,328455,Diesel,Automaatti
123,Opel,Combo,4700,2006,172525,Kaasu,Manuaali
124,Mercedes-Benz,E 350,34800,2014,196000,Diesel,Automaatti
125,Skoda,Superb,11800,2012,145000,Bensiini,Automaatti
126,Mercedes-Benz,C-sarja,11400,2009,204123,Diesel,Manuaali
127,Renault,Laguna,6900,2003,8500,Bensiini,-
128,KIA,Carnival,1000,2002,269000,Diesel,-
129,Volkswagen,Golf,21800,2016,107600,Diesel,Automaatti
130,Toyota,Yaris,5990,2010,120000,Bensiini,Manuaali
131,Toyota,Avensis,4200,2005,217000,Bensiini,Manuaali
132,KIA,Sorento,6900,2006,160000,Bensiini,Manuaali
133,Mazda,6,4880,2007,165000,Bensiini,Automaatti
134,Vw,Passat 1.4 TSi -08/ myös vaihto/tarjoa,2890,2008,320000,Bensiini,Automaatti
135,Renault,Clio,700,1999,162009,Bensiini,Manuaali
136,Volkswagen,Passat,250,2006,405078,Diesel,Manuaali
137,Ford,Mondeo,850,2001,382000,Bensiini,-
138,Volvo,XC70,8900,2007,420000,Diesel,Automaatti
139,Volvo,V70,1790,2003,495000,Diesel,-
140,Nissan,Qashqai,16900,2015,97000,Bensiini,Automaatti
141,Audi,A4,3210,2003,356460,Bensiini,Manuaali
142,Toyota,Auris,14490,2013,92000,Bensiini,Manuaali
